component,role,proposed_tool_tech,why_this_choice,feature_ids,priority
Scheduler / Orchestrator,Cron-driven pipeline runs / branching / retries / HTTP I/O,n8n (container in research/infra/docker-compose.yml; flows exported to research/n8n/workflows/),"Visual flows; native Bedrock + HTTP nodes; fast to wire in 2-3 days","UC1-001; UC1-003; UC1-005; UC1-007; UC1-008; UC1-009; UC1-010; UC3-003",must
Source Fetcher,Pull regulator HTML/PDF; hash; persist snapshot,n8n HTTP Download + Python helper inside n8n Code node,Single tool for fetch + hash + write; no extra service,"UC1-001; UC1-002",must
Snapshot Store,Immutable raw bytes per fetch,Named Docker volume n8n_data (declared in research/infra/docker-compose.yml); content-hash filenames,No external object store needed for laptop POC,"UC1-002; XC-003",must
Vector Store,Chunk embeddings / retrieval / payload metadata,Qdrant (container in research/infra/docker-compose.yml) collections regulatory_docs (1024-dim Cosine) and regulatory_change_log,Matches Bedrock Titan v2 vector size; provisioned via Day-1 boot,"UC1-002; UC1-003; UC2-001; UC2-002; UC2-003",must
Embedding Model,Text to 1024-dim vectors,AWS Bedrock Titan Text Embeddings v2,Auth surface lives in research/.env (N8N_AWS_*); same surface as reasoning model,"UC1-002; UC1-003; UC2-001; UC2-002",must
Diff Engine,Vector-flag changed chunks + readable redline,n8n Code node (chunk-level vector flag) + diff-match-patch (word-level redline in Streamlit),Smallest dependency surface that produces a believable redline UI,"UC1-003; UC1-004",must / should
LLM Reasoning Service,Relevance scoring / summary / draft updates / Q&A / citation enforcement,AWS Bedrock Claude 3.5 Sonnet via n8n HTTP node,Same auth surface as embeddings; structured JSON outputs supported,"UC1-005; UC1-007; UC1-010; UC2-002; XC-002",must / should
Relational Store (state + audit),change_events / audit_events / source_health / bills / notifications,SQLite file in n8n_data volume for POC (DDL: research/migrations/001_init.sql); Postgres roadmap,Zero new container; works with both n8n Code node and Streamlit; trivial upgrade; append-only audit_events enforced via triggers,"UC1-002; UC1-006; UC1-008; UC3-001; UC3-002; XC-003; XC-004",must
Reviewer UI,Review queue / redline / draft preview / approve / dismiss / horizon / Q&A,Streamlit app shipped under research/ui/ (tabs: Review / Draft Preview / Horizon / Health / Chat),Single Python app; reads SQLite + Qdrant directly; no JS toolchain,"UC1-004; UC1-006; UC1-007; UC2-002; UC3-001; UC3-002; XC-004",must
Drafting Module,Build GLIAccess-aligned package with citations,n8n Code node + Bedrock prompt template producing Markdown + JSON,Keeps prompt versioning visible; renders in Streamlit and SharePoint,"UC1-007; XC-002",should
SharePoint Publisher,Idempotent upload of approved package,MCP SharePoint server invoked from n8n via HTTP,Avoids custom Microsoft Graph plumbing for POC,UC1-008,must
Notification Service,Teams + email alerts to staff / operators / regulators,n8n Teams Incoming Webhook + SMTP via optional Mailhog service in research/infra/docker-compose.yml,Both demo-able offline; webhook drop-in matches enterprise pattern,UC1-009,should
Localization Hook,EN to ES toggle on notifications with locked static spans,Bedrock Claude prompt with span-mask dictionary,Demonstrates path without blocking spine,UC1-010,stretch
RAG Q&A,Cited natural-language answers over corpus,n8n AI Agent + Qdrant retrieval tool (named regulatory_documents_search in 04_rag_chat.json) with citation-enforcing prompt,One workflow covers retrieval + prompt + guard; no extra service,"UC2-001; UC2-002; UC2-003",should
Horizon Tab,Backlog of upcoming bills / proposals,Streamlit tab + SQLite bills table,Manual seed acceptable per refined requirement,"UC3-001; UC3-002",must / should
Audit Trail,Append-only events for every step,SQLite audit_events table (no-update / no-delete triggers in research/migrations/001_init.sql) + JSONL mirror in n8n_data/audit/,Survives container restart; tamper-evident; export endpoint for demo,XC-003,should
Source-Health Monitor,Per-source last_success / http_code / parse_rate / hash,SQLite source_health table + Streamlit dashboard,Cheap insurance; closes silent scraper failure risk,XC-004,should
Citation Guard,Refuse / flag any LLM output without citation IDs,Prompt template + JSON-schema validation in n8n Code node,Hard enforcement at the boundary not the UI,"XC-002; UC1-005; UC1-007; UC2-002",must
HITL Gate,No SharePoint or stakeholder push without Approved state,State check in n8n branch + UI button gating,Same pattern Regology uses; non-negotiable for regulated industry,XC-001,must
